Title,HH & NPISH (S.14 + S.15): Households' & NPISH saving ratio (per cent): Current price: £m: SA,"Unemployment rate (aged 16 and over, seasonally adjusted): %",CPI INDEX 00: ALL ITEMS 2015=100,HH & NPISH (S.14 + S.15): Currency and deposits (AF.2): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial assets (AF.A): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial liabilities (AF.L): Liability: Current price: £m: NSA,UK resident population: mid-year estimates (Qtly data interpolated),HH & NPISH (S.14 + S.15): Loans secured on dwellings (AF.422): Liability: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Net financial assets (BF.90): Current price: £m: NSA,HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2022)(1):CP:£m:SA,RSI:Volume Seasonally Adjusted:All Retailers inc fuel:All Business Index,"CG: Current receipts: Taxes on production: VAT, receivable: £m CPNSA",AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears,IOP: B-E: PRODUCTION: CVMSA,Gross Value Added - Monthly (Index 1dp) :CVM SA,Wholesale & retail trade; Repair of motor vehicles/cycles (Index 1dp) :CVM SA,IoS: Services: Period on Period Growth
CDID,NRJS,MGSX,D7BT,NNMP,NNML,NNPP,EBAQ,NNRP,NZEA,NRJR,J5EK,NZGF,KAB9,K222,ECY2,ECYD,S222
Source dataset ID,UKEA,LMS,MM23,UKEA,UKEA,UKEA,QNA,UKEA,UKEA,UKEA,DRSI,PUSF,EMP,DIOP,MGDP,MGDP,IOS1
PreUnit,,,,,,,,,,£,,£,£,,,,
Unit,,%,"Index, base year = 100",,,,",000",,,m,"Index, base year = 100",m,,"Index, base year = 100",,,
Release date,23/12/2024,21/01/2025,15/01/2025,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,17/01/2025,22/01/2025,21/01/2025,16/01/2025,16/01/2025,16/01/2025,16/01/2025
Next release,28-Mar-25,18-Feb-25,19-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,13-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,21-Feb-25,21-Feb-25,18-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25
Important notes,,,,,,,,,,,,,,,,,
2006 NOV,,5.5,80.8,,,,,,,,83.7,7782,407,109.8,82.2,98.2,0.6
2006 DEC,,5.5,81.3,,,,,,,,84.2,7641,412,109.5,82.9,97.9,1
2007 JAN,,5.5,80.6,,,,,,,,83.7,7445,415,109.5,82.9,97.6,0
2007 FEB,,5.5,81,,,,,,,,84.7,7417,419,108.1,83.2,97.8,0.8
2007 MAR,,5.5,81.4,,,,,,,,85.1,8050,417,107.6,83.3,98.4,0.3
2007 APR,,5.4,81.6,,,,,,,,85.4,7975,412,106.4,83.5,97.3,0.4
2007 MAY,,5.4,81.8,,,,,,,,84.8,7598,416,108.5,83.9,97.4,0.4
2007 JUN,,5.3,82,,,,,,,,84.6,7452,418,106.9,84,97.7,0.6
2007 JUL,,5.3,81.5,,,,,,,,84.7,7857,420,106.3,84,97.5,0.1
2007 AUG,,5.3,81.8,,,,,,,,85.4,7545,422,107.8,84.5,98.8,0.6
2007 SEP,,5.2,81.9,,,,,,,,85.3,8291,424,106.5,84.6,99.9,0.3
2007 OCT,,5.2,82.3,,,,,,,,84.8,7971,423,106.8,84.3,99.6,-0.4
2007 NOV,,5.2,82.5,,,,,,,,84.8,7818,426,107.1,84.8,100,0.6
2007 DEC,,5.2,83,,,,,,,,85,7929,426,107.3,85.2,100.2,0.5
2008 JAN,,5.2,82.4,,,,,,,,84.8,7741,429,106.6,85.2,99.6,0.1
2008 FEB,,5.2,83,,,,,,,,86,7598,435,107.7,85.7,101.6,0.4
2008 MAR,,5.3,83.4,,,,,,,,84.4,8025,437,104.9,85,101.5,-0.4
2008 APR,,5.2,84,,,,,,,,84.3,8656,432,106.6,85.6,102.8,0.6
2008 MAY,,5.4,84.6,,,,,,,,86.1,8103,434,105.6,84.8,101.3,-0.9
2008 JUN,,5.5,85.2,,,,,,,,83,8280,433,105.1,84.6,100.1,-0.1
2008 JUL,,5.7,85.1,,,,,,,,83.1,7951,434,105.9,84.2,98,-0.8
2008 AUG,,5.9,85.7,,,,,,,,83.2,7451,435,105.4,83.9,97.2,-0.2
2008 SEP,,6,86.1,,,,,,,,83.4,7902,435,104.8,82.9,93.5,-1.3
2008 OCT,,6.2,85.9,,,,,,,,82.8,7418,437,104.7,82.7,91.8,-0.2
2008 NOV,,6.4,85.8,,,,,,,,83.1,7563,436,100.7,81.6,89.8,-0.7
2008 DEC,,6.5,85.5,,,,,,,,83,6731,436,100.7,81.3,87.8,-0.2
2009 JAN,,6.7,84.9,,,,,,,,84.2,6295,421,97.8,80.5,88.8,-0.4
2009 FEB,,7.1,85.6,,,,,,,,82.7,6167,409,98,80.5,87.4,0.1
2009 MAR,,7.3,85.8,,,,,,,,83.6,6710,433,97.4,79.7,84.5,-0.9
2009 APR,,7.6,86,,,,,,,,83.9,6471,438,99,80.4,85.5,0.8
2009 MAY,,7.8,86.4,,,,,,,,83.6,6416,437,97.2,79.5,84.4,-1.1
2009 JUN,,7.9,86.7,,,,,,,,84.3,6563,438,98.1,79.7,84.3,0.1
2009 JUL,,7.9,86.7,,,,,,,,84.5,7143,437,98.9,80.2,84.8,0.5
2009 AUG,,7.8,87,,,,,,,,84.6,6868,438,96.7,79.8,85.3,-0.3
2009 SEP,,7.9,87.1,,,,,,,,84.5,6977,439,97,79.9,86.6,0.3
2009 OCT,,7.8,87.2,,,,,,,,84.7,7292,439,97.1,80.1,87.4,0.4
2009 NOV,,7.8,87.5,,,,,,,,84.3,7349,440,96.8,80.1,88.8,0.1
2009 DEC,,7.7,88,,,,,,,,83.3,7011,440,96.7,80.5,91.1,0.6
2010 JAN,,7.9,87.8,,,,,,,,80.9,8206,439,95.7,80,89.8,-0.7
2010 FEB,,8,88.2,,,,,,,,83.4,7687,446,97.1,81.3,91.7,1.5
2010 MAR,,8,88.7,,,,,,,,83,8261,441,98.1,81.9,93.9,0.8
2010 APR,,7.9,89.2,,,,,,,,83.4,8132,441,96.4,81.6,92.9,-0.2
2010 MAY,,7.9,89.4,,,,,,,,83.6,7832,443,96.3,82.2,94.8,0.7
2010 JUN,,7.8,89.5,,,,,,,,83.4,8335,442,94.9,82.2,96.3,0.1
2010 JUL,,7.8,89.3,,,,,,,,83.6,8025,443,94.1,82.3,97.2,0.5
2010 AUG,,7.8,89.8,,,,,,,,83.8,7972,445,94,82.4,96.6,-0.1
2010 SEP,,7.9,89.8,,,,,,,,82.9,8500,446,93.2,82.6,96.8,0.6
2010 OCT,,7.9,90,,,,,,,,83.2,7955,447,94.5,82.9,98,0.3
2010 NOV,,7.9,90.3,,,,,,,,83.1,8399,448,92.7,82.7,98.7,0
2010 DEC,,7.9,91.2,,,,,,,,80.9,8261,449,92,82,95.2,-0.8
2011 JAN,,7.8,91.3,,,,,,,,83,9087,458,92.8,82.4,96.7,0.2
2011 FEB,,7.8,92,,,,,,,,82.5,8975,453,90.3,82.8,97,1.1
2011 MAR,,7.7,92.2,,,,,,,,82.4,9813,453,89.6,83,97.2,0.3
2011 APR,,7.8,93.2,,,,,,,,83.6,9196,451,89.1,82.2,97.3,-1.2
2011 MAY,,7.9,93.4,,,,,,,,81.9,9104,453,89.9,83.1,96,1.2
2011 JUN,,8,93.3,,,,,,,,81.5,9592,456,90.3,83.1,96,-0.1
2011 JUL,,8.2,93.3,,,,,,,,81.7,9457,456,89.8,83.2,96,0.3
2011 AUG,,8.3,93.8,,,,,,,,81.7,9638,454,89.9,83,95.9,-0.2
2011 SEP,,8.4,94.4,,,,,,,,81.9,9822,454,90,83.1,95.7,0
2011 OCT,,8.5,94.5,,,,,,,,82.7,9720,456,89.9,82.4,96.4,-1
2011 NOV,,8.4,94.6,,,,,,,,82.2,9329,457,90.4,83.4,95.6,1.4
2011 DEC,,8.3,95.1,,,,,,,,82.4,9728,457,91.2,84.1,96.1,0.6
2012 JAN,,8.3,94.6,,,,,,,,82.7,9436,457,90.8,84.5,95.9,1
2012 FEB,,8.2,95.1,,,,,,,,82.1,9292,457,90.4,83.7,96.5,-0.9
2012 MAR,,8.2,95.4,,,,,,,,83.8,9890,457,90.3,84.1,98.1,0.5
2012 APR,,8.1,96,,,,,,,,81.4,9477,460,90.5,83.5,96.9,-0.8
2012 MAY,,8,95.9,,,,,,,,82.4,9516,460,91.4,84.8,98.3,1.6
2012 JUN,,8,95.5,,,,,,,,82.5,9747,462,90.1,83.7,95.7,-1.1
2012 JUL,,7.9,95.6,,,,,,,,82.5,9573,463,92.2,84.8,96.9,1.3
2012 AUG,,7.8,96.1,,,,,,,,82.7,9345,464,91.7,85.3,97.7,0.8
2012 SEP,,7.8,96.5,,,,,,,,82.9,9707,462,89.4,84.4,98,-0.9
2012 OCT,,7.8,97,,,,,,,,82.5,10046,462,90,84.7,96.5,0.3
2012 NOV,,7.8,97.2,,,,,,,,82,10036,463,90.9,85,95.9,0.1
2012 DEC,,7.8,97.6,,,,,,,,83,10394,461,91.7,84.6,95.3,-0.6
2013 JAN,,8,97.1,,,,,,,,82.3,9886,462,90.6,84.4,95.1,-0.1
2013 FEB,,7.8,97.8,,,,,,,,83.6,9551,462,91,85.2,96.2,1
2013 MAR,,7.8,98.1,,,,,,,,82.2,10034,454,92,85.3,94.4,-0.1
2013 APR,,7.7,98.3,,,,,,,,81.7,9894,477,91.7,85.3,94.2,0.1
2013 MAY,,7.7,98.5,,,,,,,,83.3,9879,468,92.2,85.7,94.5,0.3
2013 JUN,,7.7,98.3,,,,,,,,83.7,10168,466,93.3,85.8,94.4,-0.1
2013 JUL,,7.7,98.3,,,,,,,,83.9,10399,466,93.2,86,94.6,0.3
2013 AUG,,7.6,98.7,,,,,,,,83.5,10166,466,92.7,86.3,94.6,0.3
2013 SEP,,7.4,99.1,,,,,,,,84.3,10343,466,94,86.3,95.9,-0.1
2013 OCT,,7.2,99.1,,,,,,,,83.6,10078,466,93.7,86.8,95.7,0.7
2013 NOV,,7.2,99.2,,,,,,,,84.2,10405,466,93.7,86.8,97.3,0.1
2013 DEC,,7.1,99.6,,,,,,,,84.1,10847,468,93.6,86.5,96.2,-0.4
2014 JAN,,6.9,99,,,,,,,,84.5,10638,469,93.9,87,98.5,0.4
2014 FEB,,6.7,99.5,,,,,,,,84.8,10191,472,94.5,87.5,99.8,0.7
2014 MAR,,6.6,99.7,,,,,,,,86,10584,461,93.8,88,101.5,0.7
2014 APR,,6.4,100.1,,,,,,,,86,10490,469,93.8,88.1,101.6,0
2014 MAY,,6.3,100,,,,,,,,85.9,10399,469,93.6,88.3,102,0.5
2014 JUN,,6.1,100.2,,,,,,,,86.5,10494,470,93.9,88.6,102.3,0.3
2014 JUL,,6,99.9,,,,,,,,86.3,10496,468,94.8,89.1,102.7,0.4
2014 AUG,,6,100.2,,,,,,,,86.2,10330,469,94.2,89,103,-0.1
2014 SEP,,5.9,100.3,,,,,,,,86.1,10650,473,95,89.2,103.5,0.2
2014 OCT,,5.9,100.4,,,,,,,,86.8,11099,475,95.2,89.6,103.4,0.6
2014 NOV,,5.7,100.1,,,,,,,,87.4,11028,475,95.8,89.7,104.1,-0.2
2014 DEC,,5.6,100.1,,,,,,,,88.8,11248,478,96.9,89.7,104.1,0
2015 JAN,,5.6,99.3,,,,,,,,88.8,10889,476,96.3,89.6,104.1,-0.2
2015 FEB,,5.5,99.5,,,,,,,,89,10510,478,97.5,89.9,104.1,0.3
2015 MAR,,5.5,99.7,,,,,,,,89.3,10683,480,98.5,89.9,103.8,-0.3
2015 APR,,5.6,99.9,,,,,,,,90,10882,481,98.9,90.4,104.3,0.5
2015 MAY,,5.6,100.1,,,,,,,,89.4,10724,482,99.4,90.3,103.2,-0.2
2015 JUN,,5.5,100.2,,,,,,,,90.1,11025,481,99.8,90.2,103.4,-0.2
2015 JUL,,5.4,100,,,,,,,,89.8,11150,484,99.3,90.5,103.2,0.6
2015 AUG,,5.3,100.3,,,,,,,,89.3,11213,484,99.9,90.5,101.9,0
2015 SEP,,5.2,100.2,,,,,,,,91.3,11311,483,99.9,90.6,102.4,0.1
2015 OCT,,5.1,100.3,,,,,,,,90.3,11496,484,100.9,91,101.5,0.3
2015 NOV,,5.1,100.3,,,,,,,,91,11275,484,99.5,90.8,101.3,0.1
2015 DEC,,5.1,100.3,,,,,,,,91.1,11632,487,98.9,91.1,102.3,0.3
2016 JAN,,5.1,99.5,,,,,,,,93.3,11166,489,99.3,91.2,102,0.2
2016 FEB,,5.1,99.8,,,,,,,,92.6,11038,486,99.1,91.4,102,0.4
2016 MAR,,5,100.2,,,,,,,,92.4,11041,490,99.1,91.6,103,0.3
2016 APR,,4.9,100.2,,,,,,,,93.2,11362,495,101.5,92.1,102.6,0.3
2016 MAY,,4.9,100.4,,,,,,,,94.6,11029,493,99.9,91.9,102.6,0
2016 JUN,,4.9,100.6,,,,,,,,92.9,11435,493,99.4,92.1,102.4,0.4
2016 JUL,,5,100.6,,,,,,,,94.9,11394,496,99.1,92.2,102.1,0.2
2016 AUG,,4.8,100.9,,,,,,,,94.6,11238,494,98.8,92.4,102.5,0.5
2016 SEP,,4.8,101.1,,,,,,,,95,11649,495,98.9,92.9,104.3,0.5
2016 OCT,,4.8,101.2,,,,,,,,96.5,12019,497,97,92.7,104.5,0.2
2016 NOV,,4.7,101.4,,,,,,,,96,11902,498,98.4,93.1,104.5,0.3
2016 DEC,,4.7,101.9,,,,,,,,95,11942,496,100.4,93.7,106.1,0.2
2017 JAN,,4.6,101.4,,,,,,,,94.3,12076,497,99.1,93.9,105,0.3
2017 FEB,,4.6,102.1,,,,,,,,95.1,11750,499,98.5,94,105.6,0.2
2017 MAR,,4.5,102.5,,,,,,,,94.2,11687,501,97.7,94.1,106,0.1
2017 APR,,4.4,102.9,,,,,,,,96.1,11578,502,98,94.4,107.1,0.4
2017 MAY,,4.4,103.3,,,,,,,,95.2,11235,503,98.5,94.6,105.7,0.2
2017 JUN,,4.3,103.3,,,,,,,,95.4,11771,508,98.4,94.6,106.4,0
2017 JUL,,4.3,103.2,,,,,,,,95.6,12294,504,99.2,94.8,107.3,0.2
2017 AUG,,4.3,103.8,,,,,,,,96.5,12069,507,99.3,95,107.6,0.1
2017 SEP,,4.2,104.1,,,,,,,,96.2,12012,509,101.2,95.4,108.1,0.3
2017 OCT,,4.3,104.2,,,,,,,,96.7,12356,509,101.6,95.4,107.5,0
2017 NOV,,4.4,104.6,,,,,,,,96.8,12217,510,102.1,95.6,107.6,0
2017 DEC,,4.3,104.9,,,,,,,,96.8,12591,512,101.9,95.9,107.4,0.1
2018 JAN,,4.2,104.4,,,,,,,,96,12026,510,103.3,95.7,106.6,-0.1
2018 FEB,,4.2,104.9,,,,,,,,96.4,11712,513,103.9,95.8,105.9,0
2018 MAR,,4.2,105,,,,,,,,94.8,11785,513,103,95.7,104.3,0.2
2018 APR,,4.2,105.4,,,,,,,,96.3,12493,515,103.2,95.7,104.4,0
2018 MAY,,4,105.8,,,,,,,,98.1,12120,516,102.2,95.9,105.8,0.3
2018 JUN,,4,105.8,,,,,,,,97.8,12549,519,104.4,96.2,105.6,0
2018 JUL,,4,105.8,,,,,,,,98.7,12823,521,103.2,96,105.6,0
2018 AUG,,4.1,106.5,,,,,,,,99,12431,523,103.4,96.3,105,0.4
2018 SEP,,4.1,106.6,,,,,,,,98.6,12392,523,103,96.5,105.4,0.2
2018 OCT,,4,106.7,,,,,,,,98.2,12891,530,102,96.4,105.2,0
2018 NOV,,4,107,,,,,,,,99.5,13040,526,101,96.5,106,0.4
2018 DEC,,3.9,107.1,,,,,,,,100.2,13192,528,100.7,96.2,105.9,-0.1
2019 JAN,,4,106.3,,,,,,,,99.9,13276,530,102.1,96.7,106.5,0.1
2019 FEB,,3.8,106.8,,,,,,,,100.1,12178,531,102.5,97.3,106.7,0.6
2019 MAR,,3.8,107,,,,,,,,100.7,12418,525,103.3,97.3,106.5,-0.1
2019 APR,,3.8,107.6,,,,,,,,100.9,12758,534,102,97,106.2,-0.2
2019 MAY,,3.9,107.9,,,,,,,,99.8,12824,537,103.1,97.4,105.6,0.3
2019 JUN,,3.9,107.9,,,,,,,,101.4,12880,540,103.6,97.9,105.1,0.5
2019 JUL,,3.9,107.9,,,,,,,,102.2,13324,542,104.6,98.2,104.3,0.2
2019 AUG,,3.9,108.4,,,,,,,,101.7,12964,541,104.3,98,104,-0.2
2019 SEP,,3.8,108.5,,,,,,,,101.5,12983,544,106.1,98.5,104.6,0.3
2019 OCT,,3.8,108.3,,,,,,,,101.2,13562,543,107,98.3,103.7,-0.3
2019 NOV,,3.7,108.5,,,,,,,,100.5,13043,542,107.6,98.1,102.1,-0.5
2019 DEC,,3.9,108.5,,,,,,,,100.8,12938,542,108.6,98.5,101.7,0.3
2020 JAN,,3.9,108.2,,,,,,,,101,12569,546,110.6,98.6,100.4,-0.2
2020 FEB,,4.1,108.6,,,,,,,,100,12304,546,112.6,98.1,98.5,-1
2020 MAR,,4.1,108.6,,,,,,,,94.8,11822,529,104.6,91,85,-7.4
2020 APR,,4.1,108.5,,,,,,,,77.9,9971,529,87.6,73.2,59.4,-18.5
2020 MAY,,4.1,108.5,,,,,,,,87.8,9348,532,93.5,74.7,68.6,0.7
2020 JUN,,4.4,108.6,,,,,,,,99.8,10381,532,104.2,81.7,87.9,8.2
2020 JUL,,4.6,109.1,,,,,,,,103.8,11422,541,109.5,87.1,92.5,6.4
2020 AUG,,5,108.6,,,,,,,,105.2,11631,552,112.7,90,93.2,3.5
2020 SEP,,5.2,109.1,,,,,,,,106.8,12027,558,113.8,91.3,93.9,1.4
2020 OCT,,5.2,109.1,,,,,,,,107.6,12737,563,113,91.7,95.1,0.6
2020 NOV,,5.3,108.9,,,,,,,,102.8,12641,568,114.7,89.7,88.8,-2.9
2020 DEC,,5.2,109.2,,,,,,,,104.4,13019,570,113.8,91.1,92.4,2.1
2021 JAN,,5,109,,,,,,,,95.3,12218,570,110.1,88.1,83.2,-3.4
2021 FEB,,4.9,109.1,,,,,,,,96.7,11414,567,110.1,89.4,87.1,1.4
2021 MAR,,4.8,109.4,,,,,,,,100.9,11359,552,110.4,92,92.9,3.5
2021 APR,,4.8,110.1,,,,,,,,109.5,12403,576,109.4,95.1,100.3,4.2
2021 MAY,,4.7,110.8,,,,,,,,107.1,12846,581,108.6,96.5,101.3,2.2
2021 JUN,,4.6,111.3,,,,,,,,108.1,12972,577,106.7,97.3,102.3,1.3
2021 JUL,,4.5,111.3,,,,,,,,105.4,13782,581,105.4,97,101.1,-0.1
2021 AUG,,4.4,112.1,,,,,,,,105.6,13227,584,105.9,97.9,100.8,1
2021 SEP,,4.3,112.4,,,,,,,,105.7,13710,586,104.6,98.5,101.8,1
2021 OCT,,4.2,113.6,,,,,,,,105.2,14621,588,102.9,98.8,102.5,0.6
2021 NOV,,4.2,114.5,,,,,,,,105.1,14841,587,104.1,99.3,101.3,0.3
2021 DEC,,4.1,115.1,,,,,,,,105.4,14728,603,103.4,99.2,100.6,-0.2
2022 JAN,,3.9,114.9,,,,,,,,103.8,15104,599,102.3,99.4,102.5,0.4
2022 FEB,,3.8,115.8,,,,,,,,103,13620,600,101.5,100,100.6,0.8
2022 MAR,,3.8,117.1,,,,,,,,102.1,14722,608,100.8,99.9,99.7,-0.1
2022 APR,,3.7,120,,,,,,,,101.8,14484,604,101.2,99.9,101,-0.1
2022 MAY,,3.8,120.8,,,,,,,,100.2,14848,606,101,100.5,99.7,0.5
2022 JUN,,3.6,121.8,,,,,,,,100,15043,613,99.8,99.5,99.1,-0.8
2022 JUL,,3.6,122.5,,,,,,,,100.3,15391,614,99.4,100.1,99.4,0.6
2022 AUG,,3.7,123.1,,,,,,,,98.6,15576,619,98.7,100.2,99.7,0.1
2022 SEP,,3.8,123.8,,,,,,,,97.5,15556,621,98.7,99.6,97.6,-0.7
2022 OCT,,3.9,126.2,,,,,,,,98.5,16688,627,98.6,100.5,101.1,1
2022 NOV,,3.9,126.7,,,,,,,,97.7,16427,631,99.2,100.5,99.5,-0.2
2022 DEC,,3.9,127.2,,,,,,,,97.3,16155,633,98.8,100.1,99.9,-0.6
2023 JAN,,4,126.4,,,,,,,,97.5,15792,637,98.4,100.3,100.1,0.7
2023 FEB,,4,127.9,,,,,,,,98.2,15393,641,98.8,100.7,99.7,0.2
2023 MAR,,3.9,128.9,,,,,,,,97.4,15958,643,99.3,100.4,98.1,-0.4
2023 APR,,4,130.4,,,,,,,,98.2,16633,650,99.5,100.5,99.4,0.1
2023 MAY,,4.2,131.3,,,,,,,,97.6,16685,654,98.5,100.1,98.8,-0.2
2023 JUN,,4.3,131.5,,,,,,,,98.4,16029,668,100.8,100.8,99.6,0.3
2023 JUL,,4.3,130.9,,,,,,,,97.1,16669,663,100,100.4,99.2,-0.4
2023 AUG,,4.1,131.3,,,,,,,,97.2,15594,664,99.7,100.4,99.6,0.1
2023 SEP,,4,132,,,,,,,,96.1,16215,670,99.3,100.3,98.6,0
2023 OCT,,4,132,,,,,,,,96.2,16924,664,97.9,99.9,99.2,-0.3
2023 NOV,,3.9,131.7,,,,,,,,97.8,16775,668,98.2,100.2,99.6,0.3
2023 DEC,,4.1,132.2,,,,,,,,94.2,16917,670,98.7,100.1,97.1,-0.1
2024 JAN,,4.2,131.5,,,,,,,,97.6,16522,672,97.6,100.6,99.3,0.6
2024 FEB,,4.3,132.3,,,,,,,,97.7,15639,679,98.3,100.7,98.8,0.1
2024 MAR,,4.4,133,,,,,,,,97.5,16357,684,98.6,101.2,99.2,0.5
2024 APR,,4.4,133.5,,,,,,,,95.8,16692,686,97.8,101,98.2,0
2024 MAY,,4.2,133.9,,,,,,,,98.6,16607,687,97.5,101.3,99.8,0.2
2024 JUN,,4.2,134.1,,,,,,,,97.4,16747,689,97.9,101.2,99,-0.2
2024 JUL,,4.1,133.8,,,,,,,,98,16985,690,97.1,101.1,99.6,0.1
2024 AUG,,4.3,134.3,,,,,,,,98.8,16888,694,97.6,101.3,99.3,0.1
2024 SEP,,4.3,134.2,,,,,,,,98.6,16732,701,97.3,101.2,99.4,0
2024 OCT,,4.4,135,,,,,,,,97.8,17195,708,96.8,101.1,99.2,-0.1
2024 NOV,,,135.1,,,,,,,,97.9,16700,705,96.4,101.1,99.7,0.1
2024 DEC,,,135.6,,,,,,,,97.5,16998,,,,,
